omega	$N=6040$
6.343159986750579460e-02	1.006888277162846208e+02
6.359721762172905468e-02	1.040673438034089600e+02
6.376283537595230089e-02	1.076288045115112482e+02
6.392845313017556097e-02	1.113856495331718435e+02
6.409407088439880718e-02	1.153513494899596310e+02
6.425968863862206726e-02	1.195405062364980893e+02
6.442530639284531346e-02	1.239689643952098805e+02
6.459092414706857355e-02	1.286539355461091247e+02
6.475654190129181975e-02	1.336141366983055150e+02
6.492215965551507983e-02	1.388699449039754086e+02
6.508777740973832604e-02	1.444435701470272591e+02
6.525339516396157225e-02	1.503592489540612007e+02
6.541901291818483233e-02	1.566434615424632284e+02
6.558463067240807853e-02	1.633251757486301017e+02
6.575024842663133862e-02	1.704361214800909750e+02
6.591586618085458482e-02	1.780111000214729415e+02
6.608148393507784490e-02	1.860883332127477274e+02
6.624710168930109111e-02	1.947098583279109505e+02
6.641271944352435119e-02	2.039219754372038267e+02
6.657833719774759740e-02	2.137757551647804917e+02
6.674395495197085748e-02	2.243276160909405803e+02
6.690957270619410369e-02	2.356399826367659216e+02
6.707519046041736377e-02	2.477820361606200947e+02
6.724080821464060997e-02	2.608305742548658941e+02
6.740642596886387006e-02	2.748709959353957970e+02
6.757204372308711626e-02	2.899984336639033131e+02
6.773766147731037635e-02	3.063190570523042311e+02
6.790327923153362255e-02	3.239515778211621750e+02
6.806889698575686876e-02	3.430289913043224601e+02
6.823451473998012884e-02	3.637005967445580268e+02
6.840013249420337504e-02	3.861343471023156440e+02
6.856575024842663513e-02	4.105195894717503506e+02
6.873136800264988133e-02	4.370702699330116729e+02
6.889698575687314142e-02	4.660286923625972690e+02
6.906260351109638762e-02	4.976699401353056373e+02
6.922822126531964770e-02	5.323070937556432227e+02
6.939383901954289391e-02	5.702974075121834403e+02
6.955945677376615399e-02	6.120496458789642702e+02
6.972507452798940020e-02	6.580328277132686026e+02
6.989069228221266028e-02	7.087866860836068099e+02
7.005631003643590649e-02	7.649342274445323255e+02
7.022192779065916657e-02	8.271968706668016011e+02
7.038754554488241277e-02	8.964127705226345597e+02
7.055316329910567286e-02	9.735590901713707126e+02
7.071878105332891906e-02	1.059779194497666367e+03
7.088439880755216527e-02	1.156416006413042396e+03
7.105001656177542535e-02	1.265053122703771351e+03
7.121563431599867156e-02	1.387565753899488982e+03
7.138125207022193164e-02	1.526184174362091426e+03
7.154686982444517784e-02	1.683573200709385674e+03
7.171248757866843793e-02	1.862932338046685345e+03
7.187810533289168413e-02	2.068122756646177095e+03
7.204372308711494421e-02	2.303829347512467393e+03
7.220934084133819042e-02	2.575768985974810676e+03
7.237495859556145050e-02	2.890960146990488283e+03
7.254057634978469671e-02	3.258074663959637292e+03
7.270619410400795679e-02	3.687900449625355577e+03
7.287181185823120300e-02	4.193955527144073130e+03
7.303742961245446308e-02	4.793310468760992080e+03
7.320304736667770928e-02	5.507700966695379066e+03
7.336866512090096937e-02	6.365048938675236968e+03
7.353428287512421557e-02	7.401565949129289038e+03
7.369990062934746178e-02	8.664697575711068566e+03
7.386551838357072186e-02	1.021729941142723146e+04
7.403113613779396807e-02	1.214364443640023092e+04
7.419675389201722815e-02	1.455819847446464883e+04
7.436237164624047435e-02	1.761865445486041426e+04
7.452798940046373444e-02	2.154564660841412842e+04
7.469360715468698064e-02	2.665316487187708117e+04
7.485922490891024073e-02	3.339650854284777597e+04
7.502484266313348693e-02	4.244972579007142485e+04
7.519046041735674701e-02	5.483402485447276558e+04
7.535607817157999322e-02	7.213706241436202254e+04
7.552169592580325330e-02	9.689991412164276699e+04
7.568731368002649951e-02	1.333255228132414341e+05
7.585293143424975959e-02	1.886304714445347199e+05
7.601854918847300580e-02	2.757475258830852690e+05
7.618416694269626588e-02	4.190211431453344994e+05
7.634978469691951208e-02	6.669430123188366415e+05
7.651540245114275829e-02	1.122555305609416217e+06
7.668102020536601837e-02	2.021198370074731298e+06
7.684663795958926458e-02	3.941928679294810165e+06
7.701225571381252466e-02	8.392443275222919881e+06
7.717787346803577087e-02	1.916088543337770924e+07
7.734349122225903095e-02	4.218927057054654509e+07
7.750910897648227715e-02	6.696543089718805999e+07
7.767472673070553724e-02	5.596627218890389055e+07
7.784034448492878344e-02	2.803974717003041878e+07
7.800596223915204352e-02	1.203890220870862156e+07
7.817157999337528973e-02	5.352916147861333564e+06
7.833719774759854981e-02	2.590206541483127046e+06
7.850281550182179602e-02	1.364624505881328834e+06
7.866843325604505610e-02	7.738745908444364322e+05
7.883405101026830231e-02	4.666235141036728164e+05
7.899966876449156239e-02	2.960189041212332086e+05
7.916528651871480859e-02	1.958983302742725355e+05
7.933090427293805480e-02	1.343264436180565390e+05
7.949652202716131488e-02	9.492367874284311256e+04
7.966213978138456109e-02	6.883318266134537407e+04
7.982775753560782117e-02	5.104081400105730427e+04
7.999337528983106738e-02	3.859198163667731569e+04
8.015899304405432746e-02	2.968354090004289537e+04
8.032461079827757366e-02	2.318051242989304592e+04
8.049022855250083375e-02	1.834864395201129446e+04
8.065584630672407995e-02	1.470117948062027972e+04
8.082146406094734004e-02	1.190829236440944624e+04
8.098708181517058624e-02	9.742039982683090784e+03
8.115269956939384632e-02	8.042054451364277156e+03
8.131831732361709253e-02	6.693664159807947726e+03
8.148393507784035261e-02	5.613649474130038470e+03
8.164955283206359882e-02	4.740791204874550203e+03
8.181517058628685890e-02	4.029489247045106367e+03
